sector,priceToSalesTrailing12Months,shortRatio,forwardPE,profitMargins,payoutRatio,logo_url,dividendRate,priceToBook,pegRatio,fiftyDayAverage,symbol,dividendYield,volume,beta,trailingAnnualDividendRate,shortName,twoHundredDayAverage,industry,yield,trailingAnnualDividendYield,marketCap
,,,,,,,,,,14.646818,MRRL,,83861,,,ETRACS Monthly Pay 2xLeveraged ,13.40392,,0.1821,,
Technology,10.501243,2.16,29.420635,0.33016,0.32930002,https://logo.clearbit.com/microsoft.com,2.04,12.811917,2.22,169.33636,MSFT,0.0111,22077169,1.154593,1.94,Microsoft Corporation,149.0842,Software—Infrastructure,,0.010560122,1409781334016
Real Estate,-38.281258,2.76,9.303572,0,,https://logo.clearbit.com/annaly.com,1,1.0790101,-2.94,9.729091,NLY,0.0995,10778902,0.443462,1.05,Annaly Capital Management Inc,9.173043,REIT—Mortgage,,0.101645686,14901745664
Financial Services,5.201936,2.42,10.316547,0.33637002,1.3464999,https://logo.clearbit.com/newmountainfinance.com,1.36,1.073916,13.75,14.070606,NMFC,0.0942,453419,0.55212,1.36,New Mountain Finance Corporatio,13.667681,Asset Management,,0.09418283,1387663232
Real Estate,18.2057,4.92,53.145695,0.27304,2.1239998,https://logo.clearbit.com/realtyincome.com,2.79,2.8143084,10.95,76.70333,O,0.0354,1545114,0.133392,2.697,Realty Income Corporation,75.865654,REIT—Retail,,0.034230232,26154999808
Real Estate,2.7028542,4.37,10.739726,0.25965,0.77690005,https://logo.clearbit.com/pennymacmortgageinvestmenttrust.com,1.88,1.095329,2.6,23.05394,PMT,0.0802,463964,0.669611,1.88,PennyMac Mortgage Investment Tr,22.547174,REIT—Mortgage,,0.080239005,2356280576
Financial Services,4.8033986,2.25,11.366413,0.4589,0.9004,https://logo.clearbit.com/stelluscapital.com,1.36,1.0343151,,14.473637,SCM,0.0933,104449,0.709363,1.36,Stellus Capital Investment Corp,13.955072,Asset Management,,0.091706,282284640
Real Estate,2.4857416,7.52,19.41791,0.1807,1.5215,https://logo.clearbit.com/tangeroutlets.com,1.43,2.7894511,2.76,14.827272,SKT,0.109,3562360,0.750883,1.42,"Tanger Factory Outlet Centers, ",15.351159,REIT—Retail,,0.10823171,1208535296
Real Estate,2.4857416,7.52,19.41791,0.1807,1.5215,https://logo.clearbit.com/tangeroutlets.com,1.43,2.7894511,2.76,14.827272,SKT,0.109,3562360,0.750883,1.42,"Tanger Factory Outlet Centers, ",15.351159,REIT—Retail,,0.10823171,1208535296
Financial Services,5.682197,3.42,11.775281,0.43035,1.0314,https://logo.clearbit.com/solarcapltd.com,1.64,0.95720875,2.41,20.808182,SLRC,0.077800006,75712,0.707597,1.64,Solar Capital Ltd.,20.611523,Asset Management,,0.07783578,885786304
Utilities,3.313952,4.59,21.704401,0.20950001,0.5609,https://logo.clearbit.com/southerncompany.com,2.48,2.6309369,10.68,67.03879,SO,0.0357,4929155,0.245583,2.44,Southern Company (The),62.22913,Utilities—Regulated Electric,,0.035403367,72383340544
Real Estate,10.840706,5.09,12.178403,0.6373,1.2632,https://logo.clearbit.com/starwoodpropertytrust.com,1.92,1.5710739,-126.45,25.386364,STWD,0.074200004,989106,0.608657,1.92,"STARWOOD PROPERTY TRUST, INC. S",24.491377,REIT—Mortgage,,0.07418856,7313238016
Financial Services,4.35932,1.16,9.189874,0.15691,2.7692,https://logo.clearbit.com/tcpcapital.com,1.44,1.0684327,0.6,14.217273,TCPC,0.099,191816,0.680212,1.44,BlackRock TCP Capital Corp.,13.904347,Asset Management,,0.09896907,853285248
Financial Services,6.0319247,0.58,8.445784,0.51106,1.0286,https://logo.clearbit.com/tpvg.com,1.44,1.0405226,0.94,13.93697,TPVG,0.105500005,167980,1.0053,1.44,TriplePoint Venture Growth BDC ,15.26087,Asset Management,,0.10234542,418205408
Financial Services,5.824023,7.14,11.625641,0.50486,0.78790003,https://logo.clearbit.com/tpgspecialtylending.com,1.56,1.3561046,5.91,21.876667,TSLX,0.0694,190167,0.629858,1.78,"TPG Specialty Lending, Inc.",21.217247,Asset Management,,0.07918149,1512521984
Financial Services,24.74144,0.23,,4.08423,0.4396,https://logo.clearbit.com/cohenandsteers.com,1.86,1.0365992,,26.870909,UTF,0.0684,359085,0.863957,2,Cohen & Steers Infrastructure F,26.511087,Asset Management,,0.073448405,2353178880
Financial Services,19.807842,2.94,29.247564,0.52604,0.1916,https://logo.clearbit.com/usa.visa.com,1.2,15.172439,2.27,200.04272,V,0.0058,6340192,0.912544,1.1,Visa Inc.,183.95181,Credit Services,,0.005303761,465979473920
